TEAM,DATE,LOCATION,ORPG,DRPG,TRPG,APG,SPG,BPG,TPG,PFPG,FG_PCT,X2P_PCT,X3P_PCT,FT_PCT,PPP,PAPP,WIN,LOSS,WIN_PCT,SOS,CONFERENCE,RESULT,OUTCOME,PROB,ELO_DIFF
Akron,3/12/2016,Neutral,-1.229166667,0.06155303,-1.167613636,1.589962121,-1.566287879,0.331439394,-2.795454545,-3.729166667,-0.004678678,-0.015800062,0.05012929,-0.015729492,0.047733948,-0.054454032,6,-7,0.205492424,-0.112952921,Mid-American,Loss,Expected,0.015577786,80.46462379
Akron,3/4/2016,Home,-1.951724138,1.937931034,-0.013793103,3.193103448,-0.157471264,0.666666667,-0.562068966,-0.028735632,-0.012970844,-0.027456418,0.074800025,0.004836415,0.028348899,-0.07642035,3,-4,0.125287356,0.009682948,Mid-American,Win,Expected,0.059443502,91.27753193
Akron,2/2/2016,Away,2.5,-0.4,2.1,1.5,0.35,0.05,-1.4,-0.55,-0.037733935,-0.046783626,0.003631191,-0.076738489,-0.005848629,-0.094988754,3,-3,0.15,-0.218062692,Mid-American,Win,Expected,0.042845359,73.59841948
Akron,11/27/2015,Home,0.6,9.6,10.2,0.6,1.4,2,0.6,-6.2,0.035833715,0.06501373,-0.003787879,0.024421857,0.033721683,-0.275634481,1,-1,0.2,-0.180693459,Mid-American,Win,Expected,0.118487369,50.99463131
Akron,1/15/2016,Away,2.566666667,1.929166667,4.495833333,-3.5375,0.183333333,2.183333333,0.454166667,1.458333333,-0.049108842,-0.068707683,0.002754082,-0.066571634,-0.044679859,-0.086604272,2,-3,0.175,-0.012311568,Mid-American,Loss,Expected,0.003143003,34.78778906
Akron,2/13/2016,Away,-0.68115942,0.184782609,-0.496376812,0.375,-2.202898551,0.672101449,-2.163043478,-2.701086957,0.000111333,-0.005755738,0.046968563,-0.006418031,0.067779974,0.030252358,3,-4,0.15942029,0.007302775,Mid-American,Loss,Expected,0.008719278,86.43765412
Akron,2/19/2016,Away,-1.749230769,1.849230769,0.1,2.96,-0.261538462,0.778461538,-0.610769231,-0.263076923,-0.015895885,-0.027519148,0.065573325,0.003634534,0.025577569,-0.080071066,3,-4,0.146153846,-0.01955538,Mid-American,Loss,Expected,0.001997933,99.66487425
Akron,12/4/2015,Away,2,6.357142857,8.357142857,1.178571429,-4,0.928571429,-1.392857143,-4.392857143,0.048365361,0.019810704,0.089876216,-0.023625174,0.176076945,-0.219778309,5,-2,0.714285714,-0.625848958,Mid-American,Win,Expected,0.002056069,89.3315292
Akron,11/24/2015,Away,1,5,6,2,-6.25,0.25,2.75,-5.5,0.035958098,0.061904762,0.042735043,-0.026730821,0.080723021,-0.253211692,2,-2,0.5,-1.29468599,Mid-American,Loss,Expected,0.001439768,50.72154742
Akron,2/26/2016,Home,-0.022486772,-0.361111111,-0.383597884,2.373015873,-1.103174603,0.682539683,-1.167989418,-0.732804233,-0.005948877,0.006444993,0.023559335,0.034569518,0.074819989,-0.038260165,6,-7,0.240740741,0.053906873,Mid-American,Win,Expected,0.397067015,124.2138438
Akron,1/19/2016,Home,0.279411765,2.911764706,3.191176471,1.959558824,-5.720588235,0.055147059,-1.514705882,-1.198529412,-0.029683166,-0.056673729,0.083741346,-0.038392857,0.014152794,-0.028759302,2,-3,0.161764706,-0.472992839,Mid-American,Win,Expected,0.04836899,22.52236234
Akron,1/23/2016,Home,1.147058824,6.558823529,7.705882353,4.029411765,-2.349673203,2.277777778,-1.545751634,-0.735294118,0.010109324,0.013370928,0.057147635,-0.062176041,0.11047515,-0.062125904,7,-8,0.431372549,-0.283616847,Mid-American,Win,Expected,0.09242233,138.4738629
Akron,11/16/2015,Home,11,26,37,13,5,3,15,18,0.452830189,0.5,0.368421053,0.526315789,1.00619195,0.820433437,1,0,1,-0.333333333,Mid-American,Win,Expected,0.932471568,11.63621518
Akron,1/30/2016,Away,1.194736842,0.226315789,1.421052632,0.134210526,-1.563157895,0.460526316,-1.494736842,-0.928947368,-0.013025125,-0.016664313,0.01082027,-0.013254364,0.048136552,-0.024306964,2,-3,0.139473684,0.060883958,Mid-American,Win,Expected,0.050402566,51.43888623
Akron,11/22/2015,Away,0,0.666666667,0.666666667,-4,-2.666666667,-0.333333333,2.333333333,2.333333333,-0.006953498,-0.123219814,0.083333333,-0.04397357,-0.034609124,-0.012536322,0,0,0,-0.134920635,Mid-American,Loss,Expected,0.003737048,3.592145426
Akron,12/2/2015,Home,-2.166666667,6.433333333,4.266666667,2.766666667,-1.066666667,1.6,-2.4,-3.733333333,0.022154451,-0.002859798,0.093759849,-0.022988506,0.068235294,-0.254028745,2,-1,0.266666667,-0.419412516,Mid-American,Win,Expected,0.008906732,63.46558208
Akron,12/30/2015,Home,3.128571429,6.742857143,9.871428571,0.771428571,-0.2,2.4,2.742857143,-0.785714286,0.004571871,0.011375057,0.036622837,-0.052868199,0.061478698,-0.196085443,3,-7,0.442857143,-0.183708946,Mid-American,Win,Expected,0.009330278,101.9547248
Akron,2/23/2016,Away,0.725071225,4.776353276,5.501424501,5.027065527,-1.4002849,2.078347578,-1.625356125,-0.57977208,0.035758596,0.031577689,0.091733257,-0.024276584,0.170316537,-0.059879714,11,-12,0.435897436,-0.199208348,Mid-American,Loss,Expected,0.000157757,213.358761
Akron,2/5/2016,Home,1.53030303,1.880952381,3.411255411,1.075757576,0.145021645,1.508658009,1.415584416,0.006493506,-0.026286695,-0.063420388,0.017613368,-0.023892738,-0.03792366,-0.104508765,4,-5,0.218614719,-0.274748208,Mid-American,Win,Expected,0.035211478,54.61124203
Akron,3/1/2016,Home,2.25,-0.535714286,1.714285714,0.75,0.678571429,0.392857143,-0.821428571,-0.428571429,-0.038419041,-0.048591889,0.003800061,-0.056985294,-0.009321794,-0.071583691,2,-2,0.071428571,-0.087195397,Mid-American,Win,Expected,0.156057052,44.58836533
Akron,3/10/2016,Neutral,-0.65,2.572916667,1.922916667,3.010416667,-4.222916667,0.183333333,-1.59375,-2.59375,-0.013120903,-0.031237462,0.081636411,-0.024113413,0.041696559,-0.053115521,5,-7,0.204166667,-0.158158128,Mid-American,Win,Expected,0.025815546,77.51829745
Akron,11/14/2015,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-American,Win,Expected,0.286841233,0
Akron,1/26/2016,Home,-0.725146199,-0.222222222,-0.947368421,-0.649122807,-3.020467836,0.269005848,-2.052631579,-1.707602339,-0.015407929,-0.022737407,0.032779902,-0.009001104,0.029573802,0.05669997,-2,1,-0.064327485,-0.024425133,Mid-American,Win,Upset,0.255576027,-14.65319618
Akron,1/2/2016,Home,3.454545455,3.607954545,7.0625,-2.227272727,-1.068181818,0.903409091,-0.278409091,-0.5625,-0.003682957,-0.012818942,0.004025697,0.015939539,0.05131192,-0.191163404,5,-10,0.568181818,-0.398983599,Mid-American,Win,Expected,0.003019337,145.1837328
