"SEASON","TEAM_CONF","OPP_CONF","EXPECTED","UPSET","TOTAL","PERCENT"
"2014","Conference USA","ACC",7,1,8,0.125
"2014","Conference USA","American Athletic",44,8,52,0.153846153846154
"2014","Conference USA","Atlantic 10",6,1,7,0.142857142857143
"2014","Conference USA","Atlantic Sun",6,1,7,0.142857142857143
"2014","Conference USA","Big 12",9,0,9,0
"2014","Conference USA","Big Ten",4,2,6,0.333333333333333
"2014","Conference USA","Colonial Athletic",8,3,11,0.272727272727273
"2014","Conference USA","MEAC",7,1,8,0.125
"2014","Conference USA","Ohio Valley",6,3,9,0.333333333333333
"2014","Conference USA","Southeastern",9,2,11,0.181818181818182
"2014","Conference USA","Southern",6,0,6,0
"2014","Conference USA","Southland",12,5,17,0.294117647058824
"2014","Conference USA","Sun Belt",31,4,35,0.114285714285714
"2014","Conference USA","SWAC",6,0,6,0
"2014","Conference USA","Western Athletic",5,1,6,0.166666666666667
"2014","Horizon League","ACC",4,1,5,0.2
"2014","Horizon League","American Athletic",5,2,7,0.285714285714286
"2014","Horizon League","Atlantic Sun",14,1,15,0.0666666666666667
"2014","Horizon League","Big Ten",8,0,8,0
"2014","Horizon League","Colonial Athletic",4,1,5,0.2
"2014","Horizon League","Mid-American",17,2,19,0.105263157894737
"2014","Horizon League","Missouri Valley",6,1,7,0.142857142857143
"2014","Horizon League","Northeast",2,3,5,0.6
"2014","Horizon League","Ohio Valley",11,2,13,0.153846153846154
"2014","Horizon League","Southern",9,1,10,0.1
"2014","Horizon League","Sun Belt",4,1,5,0.2
"2014","Horizon League","West Coast",4,2,6,0.333333333333333
"2014","Ivy League","America East",18,0,18,0
"2014","Ivy League","Atlantic 10",8,0,8,0
"2014","Ivy League","Big East",6,0,6,0
"2014","Ivy League","Big Ten",8,0,8,0
"2014","Ivy League","MAAC",6,2,8,0.25
"2014","Ivy League","Northeast",13,0,13,0
"2014","Ivy League","Patriot League",12,1,13,0.0769230769230769
"2014","MAAC","America East",11,1,12,0.0833333333333333
"2014","MAAC","Atlantic 10",12,5,17,0.294117647058824
"2014","MAAC","Big East",6,1,7,0.142857142857143
"2014","MAAC","Big Ten",6,0,6,0
"2014","MAAC","Colonial Athletic",4,4,8,0.5
"2014","MAAC","Ivy League",6,2,8,0.25
"2014","MAAC","Mid-American",4,1,5,0.2
"2014","MAAC","Northeast",7,1,8,0.125
"2014","MAAC","Patriot League",6,3,9,0.333333333333333
"2014","MEAC","ACC",12,0,12,0
"2014","MEAC","American Athletic",8,0,8,0
"2014","MEAC","Atlantic 10",7,0,7,0
"2014","MEAC","Atlantic Sun",12,1,13,0.0769230769230769
"2014","MEAC","Big South",7,7,14,0.5
"2014","MEAC","Big Ten",9,0,9,0
"2014","MEAC","Colonial Athletic",8,0,8,0
"2014","MEAC","Conference USA",7,1,8,0.125
"2014","MEAC","Mid-American",7,0,7,0
"2014","MEAC","Northeast",8,0,8,0
"2014","MEAC","Pac 12",5,1,6,0.166666666666667
"2014","MEAC","Southeastern",8,0,8,0
"2014","Mid-American","Atlantic 10",6,2,8,0.25
"2014","Mid-American","Big East",5,0,5,0
"2014","Mid-American","Big Ten",5,0,5,0
"2014","Mid-American","Horizon League",14,5,19,0.263157894736842
"2014","Mid-American","MAAC",5,0,5,0
"2014","Mid-American","MEAC",7,0,7,0
"2014","Mid-American","Missouri Valley",7,2,9,0.222222222222222
"2014","Mid-American","Ohio Valley",5,3,8,0.375
"2014","Mid-American","Southeastern",5,0,5,0
"2014","Mid-American","Summit League",4,1,5,0.2
"2014","Missouri Valley","American Athletic",5,0,5,0
"2014","Missouri Valley","Atlantic 10",9,2,11,0.181818181818182
"2014","Missouri Valley","Big Ten",4,1,5,0.2
"2014","Missouri Valley","Horizon League",7,0,7,0
"2014","Missouri Valley","Mid-American",8,1,9,0.111111111111111
"2014","Missouri Valley","Ohio Valley",12,1,13,0.0769230769230769
"2014","Missouri Valley","Southeastern",4,1,5,0.2
"2014","Missouri Valley","Summit League",7,0,7,0
"2014","Missouri Valley","SWAC",5,0,5,0
"2014","Missouri Valley","West Coast",6,2,8,0.25
